,"Most similar countries to coresponding (topic, country) pair"
armchair_China,"[('Philippines', 0.921), ('Nepal', 0.915), ('Serbia', 0.913), ('Indonesia', 0.909), ('Cambodia', 0.898), ('India', 0.898), ('Brazil', 0.894), ('Mexico', 0.888), ('United States', 0.869), ('Colombia', 0.834), ('Cameroon', 0.833), ('Pakistan', 0.831), ('Spain', 0.819), ('Malawi', 0.809), ('Netherlands', 0.763)]"
armchair_Spain,"[('United States', 0.909), ('Netherlands', 0.895), ('Brazil', 0.891), ('Serbia', 0.885), ('Mexico', 0.879), ('Colombia', 0.873), ('China', 0.819), ('India', 0.817), ('Pakistan', 0.764), ('Philippines', 0.75), ('Cameroon', 0.749), ('Indonesia', 0.741), ('Nepal', 0.733), ('Cambodia', 0.683), ('Malawi', 0.643)]"
armchair_Malawi,"[('Nepal', 0.913), ('Cambodia', 0.847), ('Indonesia', 0.841), ('Philippines', 0.83), ('China', 0.809), ('Cameroon', 0.79), ('India', 0.776), ('Serbia', 0.773), ('Mexico', 0.749), ('Brazil', 0.746), ('Pakistan', 0.716), ('United States', 0.709), ('Colombia', 0.673), ('Spain', 0.643), ('Netherlands', 0.606)]"
armchair_Netherlands,"[('Colombia', 0.898), ('Spain', 0.895), ('United States', 0.866), ('Brazil', 0.85), ('Mexico', 0.831), ('Serbia', 0.817), ('India', 0.797), ('Pakistan', 0.772), ('China', 0.763), ('Cameroon', 0.742), ('Indonesia', 0.69), ('Philippines', 0.686), ('Nepal', 0.665), ('Cambodia', 0.621), ('Malawi', 0.606)]"
armchair_India,"[('Pakistan', 0.954), ('Colombia', 0.908), ('China', 0.898), ('Cameroon', 0.896), ('Indonesia', 0.891), ('Brazil', 0.888), ('Philippines', 0.883), ('Serbia', 0.881), ('Mexico', 0.877), ('Nepal', 0.877), ('Cambodia', 0.848), ('United States', 0.843), ('Spain', 0.817), ('Netherlands', 0.797), ('Malawi', 0.776)]"
armchair_Colombia,"[('India', 0.908), ('Brazil', 0.904), ('Pakistan', 0.903), ('Netherlands', 0.898), ('Mexico', 0.894), ('Spain', 0.873), ('United States', 0.868), ('Cameroon', 0.859), ('Serbia', 0.859), ('China', 0.834), ('Philippines', 0.798), ('Indonesia', 0.795), ('Nepal', 0.765), ('Cambodia', 0.732), ('Malawi', 0.673)]"
armchair_United States,"[('Spain', 0.909), ('Serbia', 0.901), ('Mexico', 0.889), ('Brazil', 0.884), ('China', 0.869), ('Colombia', 0.868), ('Netherlands', 0.866), ('India', 0.843), ('Philippines', 0.822), ('Nepal', 0.795), ('Indonesia', 0.794), ('Pakistan', 0.777), ('Cameroon', 0.772), ('Cambodia', 0.753), ('Malawi', 0.709)]"
armchair_Mexico,"[('Brazil', 0.922), ('Serbia', 0.902), ('Colombia', 0.894), ('United States', 0.889), ('China', 0.888), ('Spain', 0.879), ('India', 0.877), ('Indonesia', 0.868), ('Philippines', 0.86), ('Nepal', 0.833), ('Netherlands', 0.831), ('Cambodia', 0.823), ('Pakistan', 0.814), ('Cameroon', 0.807), ('Malawi', 0.749)]"
armchair_Cambodia,"[('Philippines', 0.953), ('Nepal', 0.943), ('Indonesia', 0.935), ('China', 0.898), ('India', 0.848), ('Malawi', 0.847), ('Mexico', 0.823), ('Serbia', 0.823), ('Brazil', 0.804), ('Cameroon', 0.803), ('Pakistan', 0.766), ('United States', 0.753), ('Colombia', 0.732), ('Spain', 0.683), ('Netherlands', 0.621)]"
armchair_Philippines,"[('Cambodia', 0.953), ('Indonesia', 0.942), ('Nepal', 0.939), ('China', 0.921), ('India', 0.883), ('Serbia', 0.87), ('Mexico', 0.86), ('Brazil', 0.842), ('Malawi', 0.83), ('United States', 0.822), ('Cameroon', 0.821), ('Pakistan', 0.801), ('Colombia', 0.798), ('Spain', 0.75), ('Netherlands', 0.686)]"
armchair_Pakistan,"[('India', 0.954), ('Cameroon', 0.921), ('Colombia', 0.903), ('Brazil', 0.849), ('Indonesia', 0.839), ('China', 0.831), ('Serbia', 0.829), ('Mexico', 0.814), ('Nepal', 0.813), ('Philippines', 0.801), ('United States', 0.777), ('Netherlands', 0.772), ('Cambodia', 0.766), ('Spain', 0.764), ('Malawi', 0.716)]"
armchair_Serbia,"[('Brazil', 0.925), ('China', 0.913), ('Mexico', 0.902), ('United States', 0.901), ('Spain', 0.885), ('India', 0.881), ('Indonesia', 0.874), ('Philippines', 0.87), ('Nepal', 0.868), ('Colombia', 0.859), ('Cameroon', 0.837), ('Pakistan', 0.829), ('Cambodia', 0.823), ('Netherlands', 0.817), ('Malawi', 0.773)]"
armchair_Indonesia,"[('Philippines', 0.942), ('Cambodia', 0.935), ('Nepal', 0.931), ('China', 0.909), ('India', 0.891), ('Serbia', 0.874), ('Mexico', 0.868), ('Cameroon', 0.866), ('Brazil', 0.866), ('Malawi', 0.841), ('Pakistan', 0.839), ('Colombia', 0.795), ('United States', 0.794), ('Spain', 0.741), ('Netherlands', 0.69)]"
bicycle_Turkey,"[('Mexico', 0.982), ('Colombia', 0.981), ('Argentina', 0.981), ('Romania', 0.976), ('Spain', 0.974), ('South Korea', 0.968), ('United Arab Emirates', 0.966), ('South Africa', 0.965), ('Indonesia', 0.964), ('Italy', 0.963), ('Egypt', 0.962), ('Thailand', 0.962), ('Saudi Arabia', 0.957), ('Philippines', 0.952), ('United Kingdom', 0.942), ('China', 0.939), ('Nigeria', 0.928), ('Japan', 0.928), ('India', 0.862)]"
bicycle_Argentina,"[('Colombia', 0.988), ('Mexico', 0.984), ('Turkey', 0.981), ('South Africa', 0.972), ('Spain', 0.967), ('Romania', 0.965), ('Indonesia', 0.959), ('Italy', 0.954), ('South Korea', 0.95), ('Thailand', 0.949), ('Egypt', 0.946), ('Philippines', 0.946), ('United Arab Emirates', 0.942), ('United Kingdom', 0.938), ('Saudi Arabia', 0.933), ('Nigeria', 0.92), ('Japan', 0.918), ('China', 0.917), ('India', 0.856)]"
bicycle_Nigeria,"[('Egypt', 0.966), ('Indonesia', 0.947), ('Philippines', 0.944), ('Turkey', 0.928), ('Argentina', 0.92), ('Colombia', 0.914), ('United Arab Emirates', 0.911), ('Mexico', 0.911), ('Thailand', 0.91), ('Saudi Arabia', 0.906), ('South Africa', 0.902), ('Romania', 0.887), ('South Korea', 0.887), ('Spain', 0.879), ('Italy', 0.878), ('China', 0.869), ('India', 0.864), ('United Kingdom', 0.855), ('Japan', 0.85)]"
bicycle_Italy,"[('Spain', 0.98), ('South Korea', 0.967), ('Thailand', 0.965), ('Mexico', 0.964), ('Turkey', 0.963), ('Romania', 0.963), ('Japan', 0.958), ('China', 0.954), ('Argentina', 0.954), ('Colombia', 0.949), ('United Kingdom', 0.948), ('South Africa', 0.92), ('Indonesia', 0.919), ('Egypt', 0.919), ('United Arab Emirates', 0.916), ('Philippines', 0.913), ('Saudi Arabia', 0.901), ('India', 0.878), ('Nigeria', 0.878)]"
bicycle_Spain,"[('Italy', 0.98), ('Romania', 0.977), ('Mexico', 0.977), ('Turkey', 0.974), ('Colombia', 0.971), ('South Korea', 0.97), ('Argentina', 0.967), ('United Kingdom', 0.958), ('Thailand', 0.956), ('China', 0.953), ('Japan', 0.943), ('South Africa', 0.941), ('United Arab Emirates', 0.937), ('Indonesia', 0.927), ('Egypt', 0.923), ('Saudi Arabia', 0.919), ('Philippines', 0.917), ('Nigeria', 0.879), ('India', 0.862)]"
bicycle_Colombia,"[('Argentina', 0.988), ('Mexico', 0.987), ('Turkey', 0.981), ('South Africa', 0.973), ('Romania', 0.972), ('Spain', 0.971), ('Indonesia', 0.964), ('South Korea', 0.959), ('Thailand', 0.955), ('Philippines', 0.953), ('United Arab Emirates', 0.95), ('Italy', 0.949), ('Egypt', 0.944), ('United Kingdom', 0.942), ('Saudi Arabia', 0.94), ('China', 0.928), ('Japan', 0.919), ('Nigeria', 0.914), ('India', 0.86)]"
bicycle_United Kingdom,"[('Spain', 0.958), ('Romania', 0.956), ('Italy', 0.948), ('Mexico', 0.948), ('South Korea', 0.943), ('Colombia', 0.942), ('Turkey', 0.942), ('South Africa', 0.938), ('Argentina', 0.938), ('Thailand', 0.923), ('Japan', 0.923), ('China', 0.913), ('United Arab Emirates', 0.896), ('Indonesia', 0.893), ('Egypt', 0.892), ('Philippines', 0.884), ('Saudi Arabia', 0.877), ('Nigeria', 0.855), ('India', 0.818)]"
bicycle_Romania,"[('Spain', 0.977), ('Turkey', 0.976), ('Colombia', 0.972), ('Mexico', 0.972), ('Argentina', 0.965), ('Italy', 0.963), ('South Africa', 0.959), ('South Korea', 0.958), ('United Kingdom', 0.956), ('Thailand', 0.949), ('Indonesia', 0.942), ('United Arab Emirates', 0.942), ('China', 0.938), ('Saudi Arabia', 0.931), ('Japan', 0.93), ('Philippines', 0.928), ('Egypt', 0.92), ('Nigeria', 0.887), ('India', 0.845)]"
bicycle_South Korea,"[('Thailand', 0.973), ('Spain', 0.97), ('China', 0.969), ('Turkey', 0.968), ('Japan', 0.968), ('Italy', 0.967), ('Mexico', 0.965), ('Colombia', 0.959), ('Romania', 0.958), ('Argentina', 0.95), ('United Kingdom', 0.943), ('United Arab Emirates', 0.938), ('Indonesia', 0.932), ('South Africa', 0.929), ('Philippines', 0.927), ('Egypt', 0.925), ('Saudi Arabia', 0.92), ('Nigeria', 0.887), ('India', 0.868)]"
bicycle_Egypt,"[('Nigeria', 0.966), ('Turkey', 0.962), ('Indonesia', 0.954), ('Philippines', 0.954), ('Argentina', 0.946), ('Colombia', 0.944), ('United Arab Emirates', 0.944), ('Mexico', 0.944), ('Thailand', 0.936), ('Saudi Arabia', 0.931), ('South Korea', 0.925), ('South Africa', 0.923), ('Spain', 0.923), ('Romania', 0.92), ('Italy', 0.919), ('China', 0.907), ('United Kingdom', 0.892), ('India', 0.889), ('Japan', 0.879)]"
bicycle_Indonesia,"[('Philippines', 0.98), ('Colombia', 0.964), ('Turkey', 0.964), ('Argentina', 0.959), ('Saudi Arabia', 0.956), ('Mexico', 0.955), ('Egypt', 0.954), ('Thailand', 0.954), ('United Arab Emirates', 0.947), ('Nigeria', 0.947), ('South Africa', 0.945), ('Romania', 0.942), ('South Korea', 0.932), ('Spain', 0.927), ('Italy', 0.919), ('China', 0.919), ('Japan', 0.896), ('United Kingdom', 0.893), ('India', 0.876)]"
bicycle_Thailand,"[('South Korea', 0.973), ('China', 0.97), ('Italy', 0.965), ('Turkey', 0.962), ('Mexico', 0.962), ('Japan', 0.958), ('Spain', 0.956), ('Colombia', 0.955), ('Indonesia', 0.954), ('Philippines', 0.952), ('Romania', 0.949), ('Argentina', 0.949), ('United Arab Emirates', 0.939), ('Egypt', 0.936), ('Saudi Arabia', 0.931), ('South Africa', 0.925), ('United Kingdom', 0.923), ('Nigeria', 0.91), ('India', 0.899)]"
bicycle_Japan,"[('South Korea', 0.968), ('Italy', 0.958), ('Thailand', 0.958), ('China', 0.95), ('Spain', 0.943), ('Romania', 0.93), ('Mexico', 0.93), ('Turkey', 0.928), ('United Kingdom', 0.923), ('Colombia', 0.919), ('Argentina', 0.918), ('Indonesia', 0.896), ('South Africa', 0.895), ('United Arab Emirates', 0.894), ('Philippines', 0.89), ('Saudi Arabia', 0.88), ('Egypt', 0.879), ('Nigeria', 0.85), ('India', 0.846)]"
bicycle_Philippines,"[('Indonesia', 0.98), ('Egypt', 0.954), ('Colombia', 0.953), ('Turkey', 0.952), ('Thailand', 0.952), ('Argentina', 0.946), ('Mexico', 0.945), ('Nigeria', 0.944), ('United Arab Emirates', 0.93), ('Romania', 0.928), ('South Korea', 0.927), ('Saudi Arabia', 0.926), ('South Africa', 0.925), ('China', 0.919), ('Spain', 0.917), ('Italy', 0.913), ('Japan', 0.89), ('United Kingdom', 0.884), ('India', 0.878)]"
bicycle_China,"[('Thailand', 0.97), ('South Korea', 0.969), ('Italy', 0.954), ('Spain', 0.953), ('Japan', 0.95), ('Mexico', 0.94), ('Turkey', 0.939), ('Romania', 0.938), ('Colombia', 0.928), ('United Arab Emirates', 0.924), ('Indonesia', 0.919), ('Philippines', 0.919), ('Argentina', 0.917), ('United Kingdom', 0.913), ('Saudi Arabia', 0.91), ('Egypt', 0.907), ('South Africa', 0.889), ('India', 0.881), ('Nigeria', 0.869)]"
bicycle_United Arab Emirates,"[('Saudi Arabia', 0.968), ('Turkey', 0.966), ('Colombia', 0.95), ('Indonesia', 0.947), ('Mexico', 0.947), ('Egypt', 0.944), ('Romania', 0.942), ('Argentina', 0.942), ('Thailand', 0.939), ('South Korea', 0.938), ('Spain', 0.937), ('South Africa', 0.934), ('Philippines', 0.93), ('China', 0.924), ('Italy', 0.916), ('Nigeria', 0.911), ('United Kingdom', 0.896), ('Japan', 0.894), ('India', 0.832)]"
bicycle_Mexico,"[('Colombia', 0.987), ('Argentina', 0.984), ('Turkey', 0.982), ('Spain', 0.977), ('Romania', 0.972), ('South Korea', 0.965), ('South Africa', 0.964), ('Italy', 0.964), ('Thailand', 0.962), ('Indonesia', 0.955), ('United Kingdom', 0.948), ('United Arab Emirates', 0.947), ('Philippines', 0.945), ('Egypt', 0.944), ('China', 0.94), ('Saudi Arabia', 0.936), ('Japan', 0.93), ('Nigeria', 0.911), ('India', 0.868)]"
bicycle_Saudi Arabia,"[('United Arab Emirates', 0.968), ('Turkey', 0.957), ('Indonesia', 0.956), ('Colombia', 0.94), ('Mexico', 0.936), ('South Africa', 0.935), ('Argentina', 0.933), ('Romania', 0.931), ('Egypt', 0.931), ('Thailand', 0.931), ('Philippines', 0.926), ('South Korea', 0.92), ('Spain', 0.919), ('China', 0.91), ('Nigeria', 0.906), ('Italy', 0.901), ('Japan', 0.88), ('United Kingdom', 0.877), ('India', 0.832)]"
bicycle_South Africa,"[('Colombia', 0.973), ('Argentina', 0.972), ('Turkey', 0.965), ('Mexico', 0.964), ('Romania', 0.959), ('Indonesia', 0.945), ('Spain', 0.941), ('United Kingdom', 0.938), ('Saudi Arabia', 0.935), ('United Arab Emirates', 0.934), ('South Korea', 0.929), ('Philippines', 0.925), ('Thailand', 0.925), ('Egypt', 0.923), ('Italy', 0.92), ('Nigeria', 0.902), ('Japan', 0.895), ('China', 0.889), ('India', 0.818)]"
bicycle_India,"[('Thailand', 0.899), ('Egypt', 0.889), ('China', 0.881), ('Italy', 0.878), ('Philippines', 0.878), ('Indonesia', 0.876), ('South Korea', 0.868), ('Mexico', 0.868), ('Nigeria', 0.864), ('Turkey', 0.862), ('Spain', 0.862), ('Colombia', 0.86), ('Argentina', 0.856), ('Japan', 0.846), ('Romania', 0.845), ('Saudi Arabia', 0.832), ('United Arab Emirates', 0.832), ('South Africa', 0.818), ('United Kingdom', 0.818)]"
wheelbarrow_Indonesia,"[('Philippines', 0.985), ('Thailand', 0.971), ('Mexico', 0.968), ('Turkey', 0.966), ('Colombia', 0.964), ('Italy', 0.959), ('Spain', 0.958), ('South Africa', 0.957), ('Argentina', 0.951), ('Nigeria', 0.95), ('Romania', 0.946), ('Japan', 0.926), ('South Korea', 0.925), ('United Arab Emirates', 0.924), ('United Kingdom', 0.92)]"
wheelbarrow_Turkey,"[('Italy', 0.988), ('Spain', 0.987), ('Romania', 0.981), ('Mexico', 0.979), ('Argentina', 0.978), ('Philippines', 0.977), ('Colombia', 0.974), ('South Africa', 0.974), ('Thailand', 0.97), ('Indonesia', 0.966), ('United Kingdom', 0.959), ('Japan', 0.957), ('United Arab Emirates', 0.955), ('South Korea', 0.935), ('Nigeria', 0.916)]"
wheelbarrow_Mexico,"[('Colombia', 0.981), ('Spain', 0.98), ('Turkey', 0.979), ('Philippines', 0.976), ('Italy', 0.976), ('Romania', 0.971), ('Argentina', 0.971), ('Thailand', 0.97), ('South Africa', 0.969), ('Indonesia', 0.968), ('Japan', 0.954), ('United Arab Emirates', 0.948), ('United Kingdom', 0.947), ('South Korea', 0.927), ('Nigeria', 0.921)]"
wheelbarrow_South Korea,"[('Turkey', 0.935), ('Thailand', 0.929), ('Philippines', 0.927), ('Mexico', 0.927), ('Indonesia', 0.925), ('Colombia', 0.923), ('Italy', 0.922), ('Spain', 0.922), ('Argentina', 0.921), ('Japan', 0.916), ('South Africa', 0.903), ('Romania', 0.902), ('Nigeria', 0.901), ('United Kingdom', 0.881), ('United Arab Emirates', 0.881)]"
wheelbarrow_United Kingdom,"[('Romania', 0.971), ('Italy', 0.97), ('Spain', 0.966), ('Turkey', 0.959), ('Colombia', 0.956), ('Japan', 0.955), ('South Africa', 0.947), ('Mexico', 0.947), ('Argentina', 0.946), ('Thailand', 0.94), ('Philippines', 0.937), ('United Arab Emirates', 0.925), ('Indonesia', 0.92), ('South Korea', 0.881), ('Nigeria', 0.855)]"
wheelbarrow_Romania,"[('Italy', 0.985), ('Spain', 0.982), ('Turkey', 0.981), ('United Kingdom', 0.971), ('Mexico', 0.971), ('Colombia', 0.969), ('South Africa', 0.968), ('Philippines', 0.966), ('Argentina', 0.966), ('Japan', 0.962), ('Thailand', 0.957), ('United Arab Emirates', 0.954), ('Indonesia', 0.946), ('South Korea', 0.902), ('Nigeria', 0.89)]"
wheelbarrow_Italy,"[('Spain', 0.99), ('Turkey', 0.988), ('Romania', 0.985), ('Colombia', 0.977), ('Mexico', 0.976), ('South Africa', 0.975), ('Argentina', 0.973), ('United Kingdom', 0.97), ('Philippines', 0.97), ('Thailand', 0.965), ('Japan', 0.96), ('Indonesia', 0.959), ('United Arab Emirates', 0.942), ('South Korea', 0.922), ('Nigeria', 0.902)]"
wheelbarrow_Japan,"[('Spain', 0.965), ('Argentina', 0.964), ('Romania', 0.962), ('Thailand', 0.961), ('Italy', 0.96), ('Colombia', 0.959), ('Turkey', 0.957), ('United Kingdom', 0.955), ('Mexico', 0.954), ('United Arab Emirates', 0.951), ('South Africa', 0.95), ('Philippines', 0.946), ('Indonesia', 0.926), ('South Korea', 0.916), ('Nigeria', 0.881)]"
wheelbarrow_Colombia,"[('Mexico', 0.981), ('Italy', 0.977), ('Spain', 0.977), ('Turkey', 0.974), ('Philippines', 0.969), ('Romania', 0.969), ('Argentina', 0.968), ('Thailand', 0.965), ('South Africa', 0.964), ('Indonesia', 0.964), ('Japan', 0.959), ('United Kingdom', 0.956), ('United Arab Emirates', 0.946), ('South Korea', 0.923), ('Nigeria', 0.908)]"
wheelbarrow_Thailand,"[('Philippines', 0.977), ('Indonesia', 0.971), ('Turkey', 0.97), ('Mexico', 0.97), ('Spain', 0.969), ('Argentina', 0.966), ('Colombia', 0.965), ('Italy', 0.965), ('Japan', 0.961), ('South Africa', 0.958), ('Romania', 0.957), ('United Arab Emirates', 0.941), ('United Kingdom', 0.94), ('South Korea', 0.929), ('Nigeria', 0.918)]"
wheelbarrow_Argentina,"[('Turkey', 0.978), ('Spain', 0.977), ('South Africa', 0.974), ('Italy', 0.973), ('Mexico', 0.971), ('Philippines', 0.97), ('Colombia', 0.968), ('Thailand', 0.966), ('Romania', 0.966), ('Japan', 0.964), ('United Arab Emirates', 0.96), ('Indonesia', 0.951), ('United Kingdom', 0.946), ('South Korea', 0.921), ('Nigeria', 0.908)]"
wheelbarrow_Philippines,"[('Indonesia', 0.985), ('Turkey', 0.977), ('Thailand', 0.977), ('Mexico', 0.976), ('Spain', 0.972), ('Argentina', 0.97), ('Italy', 0.97), ('Colombia', 0.969), ('South Africa', 0.969), ('Romania', 0.966), ('United Arab Emirates', 0.948), ('Japan', 0.946), ('Nigeria', 0.941), ('United Kingdom', 0.937), ('South Korea', 0.927)]"
wheelbarrow_Spain,"[('Italy', 0.99), ('Turkey', 0.987), ('Romania', 0.982), ('Mexico', 0.98), ('Colombia', 0.977), ('Argentina', 0.977), ('South Africa', 0.975), ('Philippines', 0.972), ('Thailand', 0.969), ('United Kingdom', 0.966), ('Japan', 0.965), ('Indonesia', 0.958), ('United Arab Emirates', 0.956), ('South Korea', 0.922), ('Nigeria', 0.905)]"
wheelbarrow_United Arab Emirates,"[('Argentina', 0.96), ('Spain', 0.956), ('Turkey', 0.955), ('Romania', 0.954), ('South Africa', 0.951), ('Japan', 0.951), ('Philippines', 0.948), ('Mexico', 0.948), ('Colombia', 0.946), ('Italy', 0.942), ('Thailand', 0.941), ('United Kingdom', 0.925), ('Indonesia', 0.924), ('Nigeria', 0.888), ('South Korea', 0.881)]"
wheelbarrow_Nigeria,"[('Indonesia', 0.95), ('Philippines', 0.941), ('South Africa', 0.937), ('Mexico', 0.921), ('Thailand', 0.918), ('Turkey', 0.916), ('Colombia', 0.908), ('Argentina', 0.908), ('Spain', 0.905), ('Italy', 0.902), ('South Korea', 0.901), ('Romania', 0.89), ('United Arab Emirates', 0.888), ('Japan', 0.881), ('United Kingdom', 0.855)]"
wheelbarrow_South Africa,"[('Italy', 0.975), ('Spain', 0.975), ('Turkey', 0.974), ('Argentina', 0.974), ('Philippines', 0.969), ('Mexico', 0.969), ('Romania', 0.968), ('Colombia', 0.964), ('Thailand', 0.958), ('Indonesia', 0.957), ('United Arab Emirates', 0.951), ('Japan', 0.95), ('United Kingdom', 0.947), ('Nigeria', 0.937), ('South Korea', 0.903)]"
cooking utensils_India,"[('Nepal', 0.947), ('China', 0.939), ('Indonesia', 0.937), ('Philippines', 0.931), ('Colombia', 0.92), ('Brazil', 0.904), ('United States', 0.896)]"
cooking utensils_China,"[('Indonesia', 0.952), ('India', 0.939), ('Nepal', 0.928), ('Philippines', 0.928), ('Colombia', 0.872), ('United States', 0.861), ('Brazil', 0.861)]"
cooking utensils_Philippines,"[('Indonesia', 0.951), ('Nepal', 0.949), ('India', 0.931), ('China', 0.928), ('Colombia', 0.895), ('United States', 0.873), ('Brazil', 0.863)]"
cooking utensils_Indonesia,"[('China', 0.952), ('Philippines', 0.951), ('Nepal', 0.941), ('India', 0.937), ('Colombia', 0.878), ('Brazil', 0.873), ('United States', 0.861)]"
cooking utensils_Brazil,"[('Colombia', 0.942), ('United States', 0.94), ('India', 0.904), ('Indonesia', 0.873), ('Philippines', 0.863), ('China', 0.861), ('Nepal', 0.834)]"
cooking utensils_Nepal,"[('Philippines', 0.949), ('India', 0.947), ('Indonesia', 0.941), ('China', 0.928), ('Colombia', 0.86), ('United States', 0.848), ('Brazil', 0.834)]"
cooking utensils_Colombia,"[('United States', 0.951), ('Brazil', 0.942), ('India', 0.92), ('Philippines', 0.895), ('Indonesia', 0.878), ('China', 0.872), ('Nepal', 0.86)]"
cooking utensils_United States,"[('Colombia', 0.951), ('Brazil', 0.94), ('India', 0.896), ('Philippines', 0.873), ('China', 0.861), ('Indonesia', 0.861), ('Nepal', 0.848)]"
cooking pot_Philippines,"[('Indonesia', 0.986), ('Colombia', 0.977), ('Egypt', 0.977), ('Nigeria', 0.976), ('Thailand', 0.974), ('South Africa', 0.973), ('Argentina', 0.971), ('Saudi Arabia', 0.969), ('Mexico', 0.967), ('United Arab Emirates', 0.964), ('China', 0.957), ('Italy', 0.951), ('South Korea', 0.951), ('Japan', 0.951), ('Turkey', 0.95), ('Spain', 0.949), ('United Kingdom', 0.941), ('Romania', 0.936), ('India', 0.921), ('Netherlands', 0.883), ('Brazil', 0.869), ('Nepal', 0.836), ('United States', 0.835), ('Bangladesh', 0.807)]"
cooking pot_Colombia,"[('Mexico', 0.99), ('Argentina', 0.987), ('Thailand', 0.986), ('South Africa', 0.985), ('Italy', 0.985), ('Spain', 0.984), ('Egypt', 0.983), ('Saudi Arabia', 0.983), ('Japan', 0.978), ('Turkey', 0.977), ('Philippines', 0.977), ('United Kingdom', 0.977), ('United Arab Emirates', 0.976), ('South Korea', 0.975), ('Indonesia', 0.968), ('Romania', 0.966), ('Nigeria', 0.956), ('China', 0.952), ('Netherlands', 0.913), ('India', 0.899), ('Brazil', 0.869), ('United States', 0.852), ('Nepal', 0.797), ('Bangladesh', 0.745)]"
cooking pot_China,"[('South Korea', 0.962), ('Philippines', 0.957), ('Thailand', 0.957), ('Colombia', 0.952), ('Japan', 0.952), ('Indonesia', 0.942), ('Mexico', 0.942), ('India', 0.939), ('Spain', 0.934), ('Italy', 0.933), ('Saudi Arabia', 0.933), ('United Kingdom', 0.931), ('Argentina', 0.93), ('South Africa', 0.928), ('United Arab Emirates', 0.928), ('Romania', 0.926), ('Egypt', 0.926), ('Turkey', 0.922), ('Brazil', 0.92), ('Nigeria', 0.91), ('Netherlands', 0.906), ('United States', 0.896), ('Nepal', 0.871), ('Bangladesh', 0.828)]"
cooking pot_Nepal,"[('Bangladesh', 0.948), ('India', 0.946), ('Brazil', 0.924), ('China', 0.871), ('United States', 0.867), ('Indonesia', 0.84), ('Philippines', 0.836), ('Netherlands', 0.818), ('Nigeria', 0.813), ('Thailand', 0.81), ('Colombia', 0.797), ('South Korea', 0.791), ('Mexico', 0.788), ('Romania', 0.779), ('Egypt', 0.778), ('Argentina', 0.773), ('South Africa', 0.772), ('Italy', 0.766), ('Japan', 0.766), ('Spain', 0.765), ('Saudi Arabia', 0.757), ('United Kingdom', 0.75), ('United Arab Emirates', 0.748), ('Turkey', 0.728)]"
cooking pot_India,"[('Brazil', 0.949), ('Nepal', 0.946), ('China', 0.939), ('Indonesia', 0.926), ('Philippines', 0.921), ('Thailand', 0.906), ('Bangladesh', 0.902), ('Colombia', 0.899), ('Nigeria', 0.898), ('United States', 0.897), ('Netherlands', 0.89), ('Egypt', 0.888), ('Mexico', 0.887), ('South Korea', 0.882), ('South Africa', 0.877), ('Italy', 0.876), ('Romania', 0.875), ('Argentina', 0.875), ('Spain', 0.872), ('Japan', 0.871), ('Saudi Arabia', 0.869), ('United Arab Emirates', 0.859), ('United Kingdom', 0.858), ('Turkey', 0.838)]"
cooking pot_Spain,"[('Italy', 0.988), ('Colombia', 0.984), ('United Kingdom', 0.984), ('Turkey', 0.982), ('Thailand', 0.98), ('Mexico', 0.98), ('Japan', 0.979), ('Romania', 0.974), ('South Korea', 0.974), ('Saudi Arabia', 0.974), ('South Africa', 0.972), ('Argentina', 0.972), ('Egypt', 0.962), ('United Arab Emirates', 0.959), ('Philippines', 0.949), ('Indonesia', 0.934), ('China', 0.934), ('Nigeria', 0.923), ('Netherlands', 0.922), ('India', 0.872), ('United States', 0.852), ('Brazil', 0.849), ('Nepal', 0.765), ('Bangladesh', 0.709)]"
cooking pot_United States,"[('Brazil', 0.933), ('Netherlands', 0.924), ('India', 0.897), ('China', 0.896), ('South Korea', 0.867), ('Nepal', 0.867), ('Mexico', 0.863), ('Japan', 0.858), ('Romania', 0.857), ('Thailand', 0.854), ('Colombia', 0.852), ('Spain', 0.852), ('United Kingdom', 0.85), ('Italy', 0.846), ('Philippines', 0.835), ('Argentina', 0.827), ('Indonesia', 0.822), ('South Africa', 0.821), ('Saudi Arabia', 0.821), ('Turkey', 0.813), ('Egypt', 0.811), ('Bangladesh', 0.8), ('United Arab Emirates', 0.798), ('Nigeria', 0.784)]"
cooking pot_Indonesia,"[('Philippines', 0.986), ('Nigeria', 0.98), ('Egypt', 0.975), ('Colombia', 0.968), ('South Africa', 0.963), ('Argentina', 0.962), ('Thailand', 0.962), ('Mexico', 0.956), ('Saudi Arabia', 0.954), ('United Arab Emirates', 0.953), ('Italy', 0.942), ('China', 0.942), ('Spain', 0.934), ('South Korea', 0.931), ('Turkey', 0.929), ('Romania', 0.928), ('Japan', 0.928), ('India', 0.926), ('United Kingdom', 0.925), ('Netherlands', 0.876), ('Brazil', 0.876), ('Nepal', 0.84), ('United States', 0.822), ('Bangladesh', 0.808)]"
